employee_id,department,job_role_level,education_level,performance_rating,years_at_company,years_since_last_promotion,monthly_salary_kes,overtime_hours_per_month,job_satisfaction_score,work_life_balance_score,distance_from_home_km,num_companies_worked_previously,remote_work_days_per_week,bonus_amount_kes,attrition
1,Operations,Junior,Bachelor's,High,0.9,0.3,70439.0,11.6,4.3,2.4,0.9,0,2,,No
2,Operations,Junior,Bachelor's,High,22.7,7.8,23392.0,20.6,4.0,5.0,36.6,1,3,,Yes
3,HR,Junior,Master's,Average,9.6,3.6,39205.0,1.5,4.0,1.6,11.5,3,5,19589.153513487916,No
4,Operations,Lead,Master's,Average,5.5,1.9,258821.0,6.2,2.8,3.5,20.7,2,0,,No
5,Operations,Lead,Bachelor's,High,7.8,3.8,253895.0,21.1,3.4,3.8,22.6,1,2,,No
6,HR,Lead,Bachelor's,High,8.4,4.2,198847.0,4.8,2.6,3.4,9.7,2,5,81484.40962649745,No
7,Finance,Senior,Bachelor's,High,7.7,3.7,168723.0,3.7,2.5,3.4,13.4,0,3,77063.18895157354,No
8,HR,Lead,Bachelor's,High,6.2,2.3,158008.0,5.4,2.6,3.0,7.2,2,5,3664.002549602086,No
9,Operations,Junior,Master's,High,3.6,2.7,73932.0,10.8,4.7,3.3,15.3,0,4,,No
10,Sales,Mid,Bachelor's,Average,10.1,5.8,96738.0,8.7,2.8,2.3,3.6,0,0,2895.036674463459,No
11,Engineering,Junior,Master's,Average,11.4,5.7,47603.0,24.3,3.8,3.0,3.4,1,0,109945.4413769978,No
12,Operations,Junior,Bachelor's,Low,4.2,1.7,34369.0,7.1,3.5,,42.2,1,0,,No
13,HR,Mid,Master's,High,10.8,6.9,63087.0,5.9,3.3,2.4,12.3,1,3,12353.353890679415,No
14,Finance,Junior,Bachelor's,Outstanding,3.5,2.0,50725.0,17.4,2.0,4.4,23.9,1,2,48992.08233597278,No
15,Engineering,Junior,Bachelor's,Average,3.0,1.6,57619.0,15.3,2.5,2.6,16.0,2,3,59687.40871761875,No
16,Finance,Junior,Bachelor's,Average,4.2,3.5,70440.0,10.1,3.5,4.2,7.9,1,5,8991.283215900861,No
17,Operations,Mid,Bachelor's,Low,13.6,9.4,124491.0,1.9,1.3,1.8,3.2,1,4,,Yes
18,Finance,Junior,Bachelor's,Average,7.1,2.4,38599.0,32.7,3.1,,5.1,6,1,31610.377223299227,Yes
19,Sales,Mid,Master's,High,3.4,1.3,98705.0,11.5,3.7,3.5,20.4,1,4,48883.92493160768,No
20,Engineering,Junior,Master's,Average,10.9,3.6,59828.0,3.6,4.4,,14.3,1,3,39487.33281207798,No
21,Finance,Lead,Diploma,Average,4.0,2.5,228905.0,51.6,3.7,,7.6,2,5,36601.66075755338,No
22,Engineering,Junior,Bachelor's,High,16.0,12.7,37478.0,38.1,2.7,2.9,12.9,2,2,33070.59065883196,Yes
23,Operations,Senior,Diploma,High,4.1,2.9,136017.0,10.8,4.1,4.0,26.8,0,0,,No
24,Engineering,Mid,Bachelor's,Average,6.0,3.1,58487.0,6.7,3.4,3.5,5.1,1,0,96469.46633781891,No
25,Engineering,Mid,Diploma,Average,2.0,0.5,86857.0,4.3,2.5,3.6,14.1,2,2,5963.902210741483,No
26,Sales,Junior,Bachelor's,High,1.4,0.7,58172.0,26.8,2.8,4.8,7.2,4,5,34928.55809111442,No
27,Finance,Junior,Bachelor's,Low,3.5,2.6,56594.0,10.0,3.5,2.4,17.5,2,1,21923.16194227149,No
28,Sales,Mid,Master's,Outstanding,13.8,9.5,96343.0,6.4,3.0,3.5,8.7,0,5,22891.963804835843,No
29,Sales,Mid,PhD,High,5.1,1.5,49740.0,11.9,3.3,1.5,32.8,2,0,54563.72226614889,No
30,Sales,Junior,Diploma,Outstanding,3.6,2.1,73555.0,16.1,3.6,3.3,17.2,1,2,5778.167649611164,No
31,Finance,Junior,Master's,Average,8.5,2.8,36084.0,26.8,4.3,3.5,14.2,2,0,24786.018221733284,No
32,Engineering,Senior,Diploma,High,5.5,4.2,138600.0,13.6,5.0,2.7,31.4,1,1,47296.3548762093,No
33,Sales,Junior,Bachelor's,Average,7.6,3.5,63025.0,19.0,2.3,3.6,28.0,1,2,15297.203358653864,Yes
34,Operations,Senior,Bachelor's,High,21.7,14.2,108498.0,40.5,3.5,3.7,8.8,2,1,,Yes
35,Engineering,Mid,Master's,High,10.1,8.1,97097.0,15.9,4.9,3.5,8.3,2,1,62800.143349173464,No
36,Operations,Junior,Diploma,Average,12.2,9.4,42765.0,32.1,3.8,1.9,17.7,0,0,,Yes
37,Engineering,Lead,Bachelor's,Average,8.6,6.7,209114.0,16.0,4.2,2.9,23.8,2,5,31392.040403762934,No
38,Finance,Senior,PhD,High,9.7,3.8,174464.0,6.0,1.8,3.1,7.1,1,4,8170.580882262352,No
39,Engineering,Mid,Bachelor's,Outstanding,1.6,1.3,93407.0,8.4,1.3,,16.9,0,0,6878.700395550337,No
40,Engineering,Junior,PhD,Average,6.7,2.2,57835.0,20.7,4.5,4.1,14.0,1,3,47391.652878292894,No
41,Engineering,Junior,Bachelor's,Average,4.3,1.5,51760.0,21.9,4.6,3.7,6.6,1,2,9333.108464466432,No
42,Engineering,Mid,Bachelor's,High,2.4,2.1,64481.0,7.4,3.4,3.6,9.1,0,5,64584.48185839451,No
43,HR,Junior,Diploma,Average,1.5,1.3,20000.0,13.7,4.6,2.8,13.1,0,1,26966.06694595093,No
44,Operations,Junior,Bachelor's,Average,4.7,1.4,57554.0,14.3,3.2,,5.9,1,5,,No
45,Engineering,Senior,Bachelor's,Low,2.2,1.8,88416.0,20.9,1.8,1.9,5.4,3,1,35536.15804736662,Yes
46,Finance,Junior,Master's,High,12.5,9.3,35429.0,5.6,5.0,3.8,2.7,4,0,38739.13562000716,No
47,Operations,Junior,Diploma,Average,10.0,8.6,44041.0,13.9,1.2,3.3,10.4,1,0,,Yes
48,Engineering,Mid,Diploma,Average,9.3,4.1,71214.0,4.3,3.1,,7.9,1,1,9811.024142097616,Yes
49,Engineering,Lead,Master's,Average,3.2,2.8,208641.0,6.5,3.9,5.0,1.8,2,0,33998.48639632584,No
50,Sales,Mid,Bachelor's,Average,2.1,1.4,133623.0,10.9,2.7,4.8,8.7,2,3,20191.11700692079,No
51,Operations,Junior,Bachelor's,High,2.2,1.9,21943.0,27.9,3.8,4.3,29.6,0,2,,No
52,Engineering,Junior,Bachelor's,Average,7.2,4.4,47457.0,8.3,3.5,1.7,17.6,1,4,109742.7347961176,No
53,Operations,Junior,Bachelor's,Low,5.1,2.6,48896.0,16.4,4.2,2.5,1.9,1,5,,No
54,Operations,Mid,Diploma,Average,1.8,0.5,60169.0,1.0,3.4,1.6,11.0,0,4,,No
55,Finance,Junior,Master's,Low,4.4,3.3,48319.0,11.4,4.0,1.0,7.4,4,0,42202.15446968829,Yes
56,Sales,Senior,Bachelor's,Average,8.2,4.3,127108.0,21.1,4.5,3.0,17.3,1,3,76872.0912943337,No
57,Engineering,Junior,Master's,Average,8.4,7.3,47697.0,32.0,2.0,4.4,25.9,2,5,34429.234979446774,Yes
58,Sales,Mid,Bachelor's,Average,4.0,3.0,84126.0,8.3,2.1,2.5,14.0,2,1,15464.514259076475,No
59,HR,Mid,Bachelor's,Average,17.7,5.3,63794.0,8.6,2.6,1.9,13.0,2,2,29045.395858294298,Yes
60,Sales,Junior,Bachelor's,High,0.6,0.6,44393.0,22.8,5.0,2.5,3.2,2,5,65429.410533074515,No
61,Sales,Lead,Diploma,Low,7.7,4.8,136808.0,10.9,2.8,3.3,16.1,2,3,56596.5717709785,Yes
62,Engineering,Mid,Bachelor's,Average,4.1,2.8,62749.0,6.2,3.4,2.4,20.0,2,2,83489.85479402468,No
63,Engineering,Mid,Bachelor's,Average,6.3,3.0,131852.0,12.9,2.4,3.8,3.3,3,4,19905.001927711837,No
64,Operations,Mid,Diploma,High,10.6,8.1,116760.0,3.0,1.4,1.9,45.0,2,5,,Yes
65,Operations,Mid,Master's,High,3.9,3.3,87166.0,62.6,4.7,2.2,23.2,0,1,,No
66,Engineering,Senior,Master's,High,3.9,3.4,147177.0,10.4,4.1,2.0,4.3,1,0,83070.90445705701,No
67,Sales,Lead,Bachelor's,Low,6.6,5.6,196088.0,27.8,2.9,3.9,9.4,1,5,21508.25162582627,No
68,Operations,Senior,Bachelor's,Average,17.6,11.1,160968.0,29.1,1.2,3.2,7.0,1,5,,No
69,Engineering,Senior,Diploma,Low,10.0,8.4,136210.0,8.5,3.8,2.8,8.5,2,1,10336.5238524177,No
70,Engineering,Junior,Master's,High,2.5,1.1,44391.0,18.7,4.4,3.2,15.6,2,4,22933.34512064277,No
71,Operations,Junior,Diploma,Average,2.0,0.7,54512.0,17.3,5.0,1.5,14.3,1,3,,No
72,Operations,Mid,PhD,Low,8.1,6.4,65282.0,16.8,5.0,,2.0,3,0,,No
73,Operations,Lead,Bachelor's,High,9.2,4.9,127328.0,46.0,2.2,2.4,13.7,1,5,,Yes
74,HR,Mid,Diploma,High,3.2,1.7,144841.0,16.5,4.1,4.0,2.5,3,0,48041.041621055636,No
75,Engineering,Mid,Bachelor's,High,3.5,2.4,100811.0,2.5,3.5,1.9,28.9,0,2,30342.444183071333,No
76,HR,Senior,Bachelor's,High,5.7,3.3,142031.0,7.8,2.5,2.7,20.9,0,5,18549.185149469293,No
77,Finance,Mid,Bachelor's,Average,6.2,1.4,107414.0,32.2,3.2,4.3,11.8,4,4,44672.207705871275,No
78,Operations,Senior,Bachelor's,Average,7.5,5.0,156789.0,10.4,2.6,1.9,22.0,1,2,,No
79,Sales,Mid,Bachelor's,High,14.0,8.0,20000.0,1.6,5.0,3.6,11.2,0,3,25603.0138016476,No
80,Engineering,Junior,Bachelor's,High,8.7,2.9,37243.0,6.5,4.2,2.4,26.3,3,4,8893.628700639687,No
81,Sales,Junior,Bachelor's,Outstanding,9.1,5.8,42446.0,17.3,2.5,1.8,13.3,2,1,15572.98194503238,No
82,Sales,Junior,Diploma,High,5.8,1.4,27082.0,10.8,2.3,3.2,29.8,3,2,36069.22227730104,No
83,Operations,Junior,Bachelor's,Average,4.8,3.4,28790.0,18.4,4.6,2.7,25.5,1,2,,No
84,Operations,Junior,Diploma,Low,4.0,1.6,52672.0,10.3,3.2,4.2,15.2,2,4,,No
85,Operations,Junior,Diploma,High,7.9,2.8,51750.0,3.1,1.1,3.3,5.6,2,4,,No
86,Sales,Junior,Master's,Average,8.9,2.1,29046.0,25.4,5.0,3.7,11.7,2,0,10798.384309106435,No
87,HR,Senior,Diploma,High,15.7,14.1,137524.0,19.7,2.0,2.6,3.0,3,1,8189.2194891610325,Yes
88,Operations,Lead,Bachelor's,High,11.7,8.1,193234.0,6.6,2.9,1.5,19.9,1,3,,No
89,Operations,Senior,PhD,High,14.3,10.6,139537.0,25.0,4.0,4.5,0.5,3,4,,No
90,Engineering,Mid,Diploma,Average,0.6,0.4,108476.0,32.9,4.9,5.0,11.2,1,1,17022.092451091983,No
91,Finance,Mid,Diploma,Outstanding,11.1,6.1,96910.0,0.9,4.0,2.8,2.6,1,1,33246.93182217422,No
92,Finance,Mid,Diploma,High,4.3,1.5,95278.0,5.1,2.0,1.0,25.2,2,2,14260.554372384859,No
93,HR,Junior,Bachelor's,High,5.2,1.8,36217.0,28.5,2.5,3.1,12.7,1,4,9899.970887223151,No
94,Operations,Senior,Diploma,Average,2.2,1.9,190894.0,6.2,2.6,,5.3,1,4,,No
95,Engineering,Lead,Bachelor's,Average,3.0,2.6,104094.0,11.9,4.1,,1.1,1,4,22979.858867452167,No
96,Finance,Lead,Diploma,Outstanding,7.7,1.8,241923.0,36.6,4.6,3.5,2.9,1,2,34537.03041828521,No
97,HR,Lead,Bachelor's,High,11.1,9.5,208407.0,17.7,1.4,3.9,7.8,4,5,29651.07981867854,Yes
98,Operations,Senior,Bachelor's,Low,1.1,0.8,135870.0,8.9,4.3,3.4,18.6,2,4,,No
99,Engineering,Senior,Master's,Average,3.9,1.9,139405.0,6.1,1.4,3.2,5.1,3,5,30486.93130263082,No
