claim_id,policy_type,claim_type,incident_location_type,witnesses_present,agent_flagged_history,police_report_filed,claimant_age,policy_tenure_years,prior_claims_count,days_to_report_claim,claim_amount_kes,estimated_repair_cost_kes,claim_amount_to_policy_limit_ratio,customer_credit_score,claim_status
1,Auto,Collision,Suburban,Yes,No,Yes,56.0,5.3,1,13.8,175266.0,168870.0,0.453,683.2707999108521,Legitimate
2,Property,Collision,Urban,Yes,Yes,No,18.0,6.3,0,6.7,145569.0,137120.0,0.461,518.2032466388724,Legitimate
3,Property,Theft,Rural,No,No,Yes,32.0,7.0,1,1.3,113048.0,102264.0,0.209,514.7045781546728,Legitimate
4,Life,Theft,Suburban,Yes,No,,44.0,7.9,0,1.1,378146.0,387872.0,0.213,454.0973658303491,Legitimate
5,Life,Theft,Urban,No,No,,30.0,2.9,0,7.9,92851.0,92099.0,0.297,739.4837776721021,Legitimate
6,Auto,Fire,Suburban,No,No,Yes,44.0,4.2,0,1.1,91731.0,85744.0,0.186,,Legitimate
7,Health,Medical,Rural,Yes,No,,35.0,3.1,1,1.0,91862.0,74889.0,0.23,626.9387546352641,Legitimate
8,Health,Medical,Suburban,No,No,,43.0,0.9,0,4.8,309119.0,340032.0,0.2,,Legitimate
9,Health,Medical,Urban,Yes,Yes,,44.0,2.1,2,4.4,197600.0,180476.0,0.212,541.0305480551106,Legitimate
10,Health,Liability,Urban,Yes,No,No,54.0,9.5,0,0.7,130405.0,149045.0,0.309,735.0375024789328,Legitimate
11,Auto,Medical,Rural,Yes,No,,53.0,14.7,1,2.5,507312.0,544617.0,0.446,631.4235339541307,Legitimate
12,Auto,Fire,Suburban,Yes,No,Yes,49.0,1.9,2,5.3,240994.0,260437.0,0.172,783.4198921786458,Legitimate
13,Auto,Collision,Urban,No,No,Yes,35.0,7.3,0,4.1,144717.0,162459.0,0.353,682.7570743526513,Legitimate
14,Auto,Collision,Urban,No,No,No,30.0,5.0,2,7.2,73539.0,74130.0,0.183,721.4406669227774,Legitimate
15,Health,Collision,Suburban,Yes,No,No,45.0,3.4,1,2.3,319263.0,287253.0,0.187,714.1738793897379,Legitimate
16,Health,Medical,Urban,Yes,No,,19.0,6.3,1,4.3,6202.0,6218.0,0.124,702.6575116988574,Legitimate
17,Property,Fire,Urban,Yes,No,Yes,41.0,2.0,2,3.5,459659.0,495244.0,0.314,722.0076941285431,Legitimate
18,Auto,Theft,Urban,No,No,Yes,45.0,2.4,0,1.4,144338.0,131892.0,0.299,606.6574868466298,Legitimate
19,Property,Medical,Rural,No,No,,34.0,1.7,3,0.6,141835.0,143113.0,0.18,541.6428965550117,Legitimate
20,Property,Liability,Suburban,Yes,No,Yes,73.0,9.9,0,4.6,138094.0,139625.0,0.17,556.1996125968651,Legitimate
21,Property,Liability,Suburban,No,No,Yes,47.0,6.5,0,3.8,195296.0,212550.0,0.559,587.306567988965,Fraudulent
22,Health,Liability,Suburban,No,Yes,Yes,43.0,6.3,1,13.5,346210.0,323043.0,0.391,660.7814635496356,Legitimate
23,Property,Collision,Urban,Yes,No,Yes,27.0,3.5,0,6.0,178726.0,176264.0,0.194,723.5097092050981,Legitimate
24,Auto,Theft,Urban,No,No,Yes,55.0,4.4,1,5.0,607346.0,637644.0,0.393,722.6228272190679,Fraudulent
25,Auto,Theft,Rural,Yes,No,Yes,71.0,6.0,1,6.4,26233.0,30940.0,0.525,600.3084300467879,Legitimate
26,Property,Medical,Urban,Yes,No,,43.0,5.4,1,1.6,190084.0,173198.0,0.303,668.1033167793707,Legitimate
27,Life,Theft,Rural,No,No,,41.0,1.4,0,4.7,66821.0,65326.0,0.714,561.8652628075497,Legitimate
28,Auto,Liability,Urban,No,No,No,18.0,0.5,1,1.4,198514.0,204682.0,0.193,825.2039035594464,Legitimate
29,Health,Medical,Rural,Yes,No,,36.0,1.2,1,2.3,196475.0,194348.0,0.341,,Legitimate
30,Auto,Medical,Urban,Yes,No,,39.0,3.6,1,2.9,205933.0,199873.0,0.168,571.1843014445541,Legitimate
31,Auto,Collision,Rural,Yes,No,Yes,26.0,9.7,0,14.4,57005.0,60401.0,0.384,704.7988802812409,Legitimate
32,Health,Theft,Urban,No,No,No,58.0,5.5,0,7.0,58977.0,53008.0,0.314,473.65827336670577,Legitimate
33,Health,Medical,Suburban,No,No,,35.0,24.6,0,7.2,43779.0,48889.0,0.363,675.8056284676755,Legitimate
34,Life,Medical,Suburban,Yes,No,,49.0,2.1,2,1.6,61630.0,58616.0,0.673,741.2197306954887,Legitimate
35,Life,Collision,Suburban,No,No,,36.0,4.2,0,8.7,13551.0,15509.0,0.245,721.4058735677278,Legitimate
36,Health,Collision,Suburban,Yes,No,Yes,42.0,3.2,3,6.4,137011.0,152707.0,0.219,734.4909162141744,Legitimate
37,Auto,Medical,Urban,Yes,No,,48.0,3.4,1,1.1,143469.0,143143.0,0.293,762.2107885405294,Legitimate
38,Health,Fire,Suburban,No,No,No,51.0,14.8,1,20.5,121650.0,128606.0,0.237,850.0,Legitimate
39,Property,Collision,Urban,No,No,Yes,37.0,0.2,1,3.1,140990.0,146755.0,0.588,641.0535572894739,Legitimate
40,Auto,Medical,Suburban,No,No,,18.0,6.2,0,10.3,252304.0,318964.0,0.27,740.8152162794539,Legitimate
41,Auto,Fire,Suburban,Yes,No,Yes,37.0,2.1,2,1.8,371603.0,376587.0,0.284,645.8423836132744,Legitimate
42,Auto,Medical,Rural,No,No,,50.0,3.8,0,12.7,163072.0,171380.0,0.359,,Legitimate
43,Property,Collision,Urban,No,Yes,Yes,34.0,2.7,0,5.1,142448.0,149864.0,0.706,746.0080082280399,Fraudulent
44,Health,Medical,Urban,Yes,No,,50.0,4.5,2,17.1,101750.0,92876.0,0.285,756.5459807440546,Legitimate
