customer_id,contract_type,payment_method,internet_service,tech_support,has_multiple_lines,senior_citizen,customer_satisfaction_level,competitor_offer_recent,tenure_months,monthly_charges_kes,total_charges_kes,num_support_tickets,partner_dependents_count,avg_monthly_data_usage_gb,satisfaction_survey_score,churn
1,Month-to-Month,Bank Transfer,None,No,Yes,No,Low,No,38.6,3345.0,130551.0,3,2,,2.8,Yes
2,Month-to-Month,Credit Card,Fiber Optic,No,No,No,Medium,Yes,16.1,1557.0,26396.0,1,2,53.8,2.3,No
3,Month-to-Month,Bank Transfer,None,No,No,No,Medium,Yes,25.8,6173.0,151710.0,1,2,,3.3,No
4,One Year,Electronic Check,DSL,Yes,Yes,Yes,Medium,No,59.2,3026.0,184297.0,0,0,62.9,3.3,No
5,One Year,Credit Card,DSL,No,No,No,Medium,No,68.2,971.0,66572.0,3,0,81.1,4.5,No
6,Month-to-Month,Electronic Check,DSL,No,No,No,High,No,28.1,3857.0,112475.0,1,1,96.3,2.8,No
7,One Year,Bank Transfer,DSL,No,No,No,Medium,Yes,12.6,4647.0,64714.0,1,0,41.9,3.7,No
8,Two Year,Bank Transfer,Fiber Optic,Yes,No,Yes,High,No,72.0,3179.0,252155.0,3,2,85.6,3.6,No
9,Month-to-Month,Mailed Check,Fiber Optic,Yes,Yes,No,Medium,No,12.6,5166.0,68803.0,3,1,35.8,,No
10,Month-to-Month,Electronic Check,Fiber Optic,No,Yes,No,Medium,Yes,34.2,4575.0,141025.0,0,3,53.9,2.7,No
11,Month-to-Month,Bank Transfer,None,Yes,Yes,No,Medium,No,23.3,1785.0,44322.0,0,2,,3.4,No
12,One Year,Credit Card,None,No,Yes,No,Medium,No,37.0,3327.0,124937.0,2,3,,3.2,No
13,Month-to-Month,Electronic Check,Fiber Optic,No,No,No,Medium,No,19.4,2898.0,54874.0,1,3,108.6,1.6,No
14,Month-to-Month,Electronic Check,DSL,Yes,No,Yes,Low,No,24.3,3138.0,80267.0,0,1,6.9,2.5,No
15,Month-to-Month,Electronic Check,Fiber Optic,No,No,No,Medium,No,40.2,3413.0,137360.0,0,1,37.4,4.5,No
16,Two Year,Bank Transfer,DSL,No,No,No,High,No,40.3,4353.0,164648.0,6,1,82.7,2.7,No
17,Month-to-Month,Credit Card,DSL,No,No,No,Medium,No,72.0,2991.0,217533.0,2,2,33.9,,No
18,One Year,Credit Card,DSL,Yes,Yes,No,High,Yes,32.0,5083.0,156816.0,0,0,42.3,4.7,No
19,One Year,Credit Card,DSL,Yes,No,No,Medium,No,16.5,2808.0,51007.0,1,2,30.2,4.0,No
20,Month-to-Month,Electronic Check,Fiber Optic,No,No,No,Medium,No,15.6,5317.0,79181.0,0,1,27.6,3.5,Yes
21,Two Year,Mailed Check,Fiber Optic,Yes,No,No,Medium,No,10.2,5172.0,55100.0,2,0,45.6,2.2,No
22,Month-to-Month,Bank Transfer,DSL,No,Yes,No,Low,No,60.2,5549.0,328194.0,1,3,103.7,5.0,No
23,Two Year,Bank Transfer,DSL,No,No,No,Medium,No,39.4,2027.0,75713.0,0,0,58.7,3.4,No
24,Month-to-Month,Mailed Check,DSL,No,No,No,Medium,No,7.1,5991.0,41238.0,2,2,44.9,3.1,Yes
25,Two Year,Electronic Check,DSL,Yes,No,Yes,Medium,No,3.7,3142.0,10487.0,3,0,34.7,,No
26,Two Year,Bank Transfer,DSL,Yes,Yes,Yes,Low,Yes,11.9,3604.0,47466.0,3,0,60.4,3.3,No
27,Month-to-Month,Electronic Check,DSL,Yes,No,Yes,Medium,Yes,33.0,3608.0,116379.0,1,2,20.6,3.2,No
28,Month-to-Month,Mailed Check,None,No,No,No,Medium,No,34.3,1679.0,55699.0,2,3,,2.4,No
29,Month-to-Month,Credit Card,Fiber Optic,No,No,No,High,No,13.0,3711.0,48111.0,3,1,35.5,2.7,Yes
30,Month-to-Month,Credit Card,DSL,No,Yes,No,Medium,No,50.8,1036.0,56788.0,2,3,16.6,5.0,No
31,Two Year,Credit Card,DSL,No,No,No,Low,No,17.2,1849.0,33248.0,2,0,63.5,2.3,No
32,Month-to-Month,Credit Card,Fiber Optic,No,Yes,No,Medium,No,32.8,5784.0,198329.0,3,0,14.3,3.7,Yes
33,One Year,Bank Transfer,Fiber Optic,No,No,No,Low,No,21.9,3194.0,71708.0,2,1,19.7,3.7,Yes
34,Month-to-Month,Mailed Check,None,No,No,No,High,No,9.8,3396.0,32612.0,3,3,,3.4,No
35,Month-to-Month,Credit Card,DSL,No,Yes,No,High,Yes,40.8,2313.0,89313.0,1,0,110.8,2.3,No
36,Month-to-Month,Credit Card,Fiber Optic,No,Yes,Yes,Medium,No,29.9,2546.0,80248.0,3,2,9.7,3.3,No
37,Month-to-Month,Bank Transfer,DSL,Yes,No,No,Low,No,32.8,4610.0,165461.0,3,0,16.0,3.6,No
38,Month-to-Month,Bank Transfer,DSL,No,No,No,Medium,Yes,13.9,4351.0,60945.0,2,2,60.0,3.9,Yes
